80 unit threshold

BOLD
^ asciicircum 1090 1171
` grave 1243 741
´ acute 1243 741
¼ onequarter 1804 1700
Ĳ IJ 1475 1356
ŀ ldot 877 741
ˆ circumflex 1243 1032
ˇ caron 1243 1032
ˉ macron 1243 842
˘ breve 1243 950
˙ dotaccent 625 496
˚ ring 1182 666
˛ ogonek 422 569
˜ tilde 1243 993
˝ hungarumlaut 1204 1057
Έ Epsilontonos 1290 1382
Ή Etatonos 1710 1802
Ί Iotatonos 1049 922
Ύ Upsilontonos 1565 1663
Ώ Omegatonos 1610 1772
Ѡ uni0460 2228 1952
ѽ uni047D 1823 1962
Ѿ uni047E 2228 1952
҃ uni0483 1141 0
҄ uni0484 1182 0
҅ uni0485 1182 0
҆ uni0486 1182 0
Ὅ uni1F4D 1712 2077
″ second 967 1073
℠ uni2120 1505 1587


BOLD ITALIC
` grave 1135 659
´ acute 1135 659
¼ onequarter 1804 1708
ď dcaron 1217 1382
ģ gcommaaccent 1108 uni0123 1217
ľ lcaron 608 768
ˆ circumflex 1135 977
ˇ caron 1135 979
ˉ macron 1096 782
˘ breve 1135 877
˙ dotaccent 608 496
˚ ring 1182 678
˛ ogonek 422 590
˜ tilde 1135 936
˝ hungarumlaut 1135 1036
Ή Etatonos 1581 1663
Ί Iotatonos 805 895
Ώ Omegatonos 1636 1720
Ѡ uni0460 2097 1815
ѹ uni0479 2173 2261
Ѿ uni047E 2097 1815
҃ uni0483 1096 0
҄ uni0484 1137 0
҅ uni0485 1135 0
҆ uni0486 1135 0
Ὅ uni1F4D 1595 1917
″ second 928 1051
℠ uni2120 1505 1587



EXTRA BOLD
` grave 1225 856
´ acute 1225 856
¸ cedilla 383 590
¼ onequarter 1919 1817
ŀ ldot 1055 887
ˆ circumflex 1237 1071
ˇ caron 1237 1071
ˉ macron 1214 891
˘ breve 1225 973
˙ dotaccent 666 580
˚ ring 1120 700
˛ ogonek 434 614
˜ tilde 1225 1006
Ί Iotatonos 928 1010
ϑ uni03D1 1544 1440
в afii10067 1372 uni0432 1288
Ѡ uni0460 2316 2005
ѽ uni047D 1853 1974
Ѿ uni047E 2316 2005
҃ uni0483 1110 0
҄ uni0484 1149 0
҅ uni0485 1104 0
҆ uni0486 1102 0
Ҍ uni048C 1368 1272
ҍ uni048D 1303 1188
Ҝ uni049C 1530 1427
ҝ uni049D 1466 1384
ӎ uni04CE 1976 1892
″ second 1073 1176



EXTRA BOLD ITALIC
` grave 1135 723
´ acute 1135 821
¼ onequarter 1991 1909
ď dcaron 1362 1479
ĝ gcircumflex 1145 1243
ğ gbreve 1145 1243
ġ gdot 1145 1243
ģ gcommaaccent 1145 uni0123 1243
ľ lcaron 793 895
ˉ macron 1096 831
˘ breve 1135 969
˙ dotaccent 680 582
˚ ring 1182 713
˛ ogonek 453 657
˜ tilde 1135 997
Ή Etatonos 1606 1749
Ί Iotatonos 883 1024
Ό Omicrontonos 1655 1745
Ύ Upsilontonos 1567 1688
Ώ Omegatonos 1739 1862
Ѡ uni0460 2154 1853
Ѿ uni047E 2154 1853
҃ uni0483 1063 0
҄ uni0484 1104 0
҅ uni0485 1100 0
҆ uni0486 1100 0
ҏ uni048F 1354 1243
Ὅ uni1F4D 2001 2085
″ second 930 1014
℠ uni2120 1495 1577

